LECROYHDO6104	18177	Waveform
Segments	1	SegmentSize	20002
Segment	TrigTime	TimeSinceSegment1
#1	02-Jun-2022 12:17:48	0                 
Time	Ampl
-10.001	-0.0243631
-10	-0.012244
-9.999	-0.00487261
-9.998	-0.00762126
-9.997	-0.00687163
-9.996	-0.00949534
-9.995	-0.00637187
-9.994	-0.00637187
-9.993	-0.00587212
-9.992	0.00124939
-9.991	0.00874571
-9.99	-0.0133684
-9.989	-0.00274865
-9.988	0.00662175
-9.987	-0.00887065
-9.986	-0.00699657
-9.985	-0.00474767
-9.984	-0.0149926
-9.983	-0.0338584
-9.982	-0.00862077
-9.981	-0.00487261
-9.98	-0.00287359
-9.979	0.00124939
-9.978	-0.00724645
-9.977	-0.0132435
-9.976	-0.0109946
-9.975	-0.0104949
-9.974	-0.00962028
-9.973	-0.00124939
-9.972	-0.00987016
-9.971	-0.0103699
-9.97	-0.00887065
-9.969	-0.00649681
-9.968	-0.0218643
-9.967	-0.00424792
-9.966	-0.00537236
-9.965	-0.0106198
-9.964	-0.0108697
-9.963	-0.016367
-9.962	-0.0192406
-9.961	-0.0289858
-9.96	-0.0192406
-9.959	-0.00762126
-9.958	-0.010245
-9.957	-0.0129936
-9.956	0.000374816
-9.955	-0.00899559
-9.954	-0.010245
-9.953	-0.00824596
-9.952	-0.0276115
-9.951	0.00249877
-9.95	-0.00899559
-9.949	-0.00124939
-9.948	-0.00787114
-9.947	-0.00599706
-9.946	-0.0123689
-9.945	-0.00462273
-9.944	0.00662175
-9.943	-0.00762126
-9.942	-0.00899559
-9.941	-0.0038731
-9.94	-0.0144929
-9.939	-0.0154924
-9.938	-0.00149926
-9.937	-0.0099951
-9.936	-0.00337335
-9.935	-0.00124939
-9.934	-0.00499755
-9.933	-0.00562224
-9.932	-0.0113694
-9.931	-0.00762126
-9.93	-0.00699657
-9.929	-0.00862077
-9.928	-0.00537236
-9.927	-0.0147428
-9.926	-0.00962028
-9.925	-0.00899559
-9.924	-0.00199902
-9.923	-0.00724645
-9.922	-0.00687163
-9.921	-0.00124939
-9.92	-0.0228638
-9.919	-0.00899559
-9.918	-0.00862077
-9.917	-0.00587212
-9.916	-0.00824596
-9.915	-0.00924547
-9.914	-0.00699657
-9.913	-0.0103699
-9.912	-0.00799608
-9.911	-0.0134934
-9.91	-0.00462273
-9.909	-0.00324841
-9.908	-0.00462273
-9.907	-0.0123689
-9.906	-0.00824596
-9.905	-0.0108697
-9.904	0.0328589
-9.903	-0.00487261
-9.902	-0.00662175
-9.901	-0.00687163
-9.9	-0.00862077
-9.899	-0.00262371
-9.898	0.0238633
-9.897	-0.00687163
-9.896	-0.00399804
-9.895	-0.00987016
-9.894	-0.00174914
-9.893	-0.00424792
-9.892	-0.0249877
-9.891	-0.00624694
-9.89	-0.00849583
-9.889	-0.00299853
-9.888	-0.00337335
-9.887	-0.00337335
-9.886	-0.00649681
-9.885	-0.0103699
-9.884	-0.00124939
-9.883	-0.0054973
-9.882	-0.0154924
-9.881	0.00824596
-9.88	-0.00824596
-9.879	-0.0093704
-9.878	-0.0109946
-9.877	-0.00374816
-9.876	-0.00399804
-9.875	-0.0388559
-9.874	-0.00699657
-9.873	-0.0119941
-9.872	-0.00624694
-9.871	0.0214895
-9.87	-0.00724645
-9.869	-0.00924547
-9.868	-0.00287359
-9.867	-0.0054973
-9.866	-0.0104949
