LECROYHDO6104	18177	Waveform
Segments	1	SegmentSize	20002
Segment	TrigTime	TimeSinceSegment1
#1	02-Jun-2022 11:52:44	0                 
Time	Ampl
-10.001	-0.00899559
-10	-0.0174914
-9.999	-0.00699657
-9.998	-0.00449779
-9.997	-0.00849583
-9.996	-0.0164919
-9.995	-0.0124939
-9.994	-0.00649681
-9.993	-0.0134934
-9.992	-0.00599706
-9.991	-0.00849583
-9.99	-0.0159922
-9.989	-0.0189907
-9.988	-0.0129936
-9.987	-0.00749632
-9.986	-0.00449779
-9.985	-0.0134934
-9.984	-0.00749632
-9.983	-0.0054973
-9.982	-0.0124939
-9.981	-0.0169917
-9.98	-0.0134934
-9.979	-0.0104949
-9.978	-0.00749632
-9.977	-0.0154924
-9.976	-0.0099951
-9.975	-0.00849583
-9.974	-0.0139931
-9.973	-0.0134934
-9.972	-0.0154924
-9.971	-0.00849583
-9.97	-0.0104949
-9.969	-0.0179912
-9.968	-0.0109946
-9.967	-0.00649681
-9.966	-0.0124939
-9.965	-0.0104949
-9.964	-0.00699657
-9.963	-0.0114944
-9.962	-0.0139931
-9.961	-0.0154924
-9.96	-0.00699657
-9.959	-0.0099951
-9.958	-0.0104949
-9.957	-0.0109946
-9.956	-0.00749632
-9.955	-0.00749632
-9.954	-0.00849583
-9.953	-0.0149926
-9.952	-0.0174914
-9.951	-0.0099951
-9.95	-0.00699657
-9.949	-0.0144929
-9.948	-0.00799608
-9.947	-0.0119941
-9.946	-0.0119941
-9.945	-0.00949534
-9.944	-0.0099951
-9.943	-0.0124939
-9.942	-0.0104949
-9.941	-0.0119941
-9.94	-0.00649681
-9.939	-0.0149926
-9.938	-0.0184909
-9.937	-0.0119941
-9.936	-0.0119941
-9.935	-0.0144929
-9.934	-0.0174914
-9.933	-0.0149926
-9.932	-0.0099951
-9.931	-0.0159922
-9.93	-0.0104949
-9.929	-0.00699657
-9.928	-0.00949534
-9.927	-0.0154924
-9.926	-0.0169917
-9.925	-0.0134934
-9.924	-0.0104949
-9.923	-0.0169917
-9.922	-0.0184909
-9.921	-0.00499755
-9.92	-0.0124939
-9.919	-0.00399804
-9.918	-0.0109946
-9.917	-0.00799608
-9.916	-0.0109946
-9.915	-0.0196154
-9.914	-0.0139931
-9.913	-0.0144929
-9.912	-0.0144929
-9.911	-0.0104949
-9.91	-0.0134934
-9.909	-0.00199902
-9.908	-0.0134934
-9.907	-0.0099951
-9.906	-0.00849583
-9.905	-0.0184909
-9.904	-0.00849583
-9.903	-0.0169917
-9.902	-0.0124939
-9.901	-0.0134934
-9.9	-0.0169917
-9.899	-0.0119941
-9.898	-0.00949534
-9.897	-0.0149926
-9.896	-0.0139931
-9.895	-0.0144929
-9.894	-0.00949534
-9.893	-0.0209897
-9.892	-0.0214895
-9.891	-0.00599706
-9.89	-0.0134934
-9.889	-0.0194904
-9.888	-0.0144929
-9.887	-0.0149926
-9.886	-0.00849583
-9.885	-0.00499755
-9.884	-0.00449779
-9.883	-0.0184909
-9.882	-0.0114944
-9.881	-0.00649681
-9.88	-0.0109946
-9.879	-0.0119941
-9.878	-0.00599706
-9.877	-0.0159922
-9.876	-0.0114944
-9.875	-0.0054973
-9.874	-0.0129936
-9.873	-0.0164919
-9.872	-0.0109946
-9.871	-0.00699657
-9.87	-0.00799608
-9.869	-0.0114944
-9.868	-0.00849583
-9.867	-0.0104949
-9.866	-0.0154924
-9.865	-0.0114944
-9.864	-0.0129936
-9.863	-0.0109946
-9.862	-0.0104949
-9.861	-0.00749632
-9.86	-0.00399804
-9.859	-0.0124939
-9.858	-0.0129936
-9.857	-0.0119941
-9.856	-0.0134934
-9.855	-0.0179912
-9.854	-0.0219892
-9.853	-0.0159922
-9.852	-0.0134934
-9.851	-0.0129936
-9.85	-0.00949534
-9.849	-0.0054973
-9.848	-0.00799608
-9.847	-0.0159922
-9.846	-0.0109946
-9.845	-0.0109946
-9.844	-0.0144929
-9.843	-0.0114944
-9.842	-0.0099951
-9.841	-0.00899559
-9.84	-0.0099951
-9.839	-0.0139931
-9.838	-0.0134934
-9.837	-0.0114944
-9.836	-0.0099951
-9.835	-0.00899559
-9.834	-0.00849583
-9.833	-0.0119941
-9.832	-0.0099951
-9.831	-0.00699657
-9.83	-0.00949534
-9.829	-0.00699657
-9.828	-0.0149926
-9.827	-0.0169917
-9.826	-0.0109946
-9.825	-0.00799608
-9.824	-0.0134934
-9.823	-0.0114944
-9.822	-0.0189907
-9.821	-0.0054973
-9.82	-0.00849583
-9.819	-0.0124939
-9.818	-0.00949534
-9.817	-0.0124939
-9.816	-0.0104949
-9.815	-0.0104949
-9.814	-0.0104949
-9.813	-0.0114944
-9.812	-0.0169917
-9.811	-0.0144929
-9.81	-0.0129936
-9.809	-0.0124939
-9.808	-0.0169917
-9.807	-0.0139931
-9.806	-0.0144929
-9.805	-0.0114944
-9.804	-0.0124939
-9.803	-0.00199902
-9.802	-0.00649681
-9.801	-0.0104949
-9.8	-0.0174914
-9.799	-0.00599706
-9.798	-0.0134934
-9.797	-0.00949534
-9.796	-0.00899559
-9.795	-0.0119941
-9.794	-0.0134934
-9.793	-0.0139931
-9.792	-0.00799608
-9.791	-0.0144929
-9.79	-0.00849583
-9.789	-0.0104949
-9.788	-0.0144929
-9.787	-0.0139931
-9.786	-0.000499755
-9.785	-0.0139931
-9.784	-0.0159922
-9.783	-0.00649681
-9.782	-0.00849583
-9.781	-0.0164919
-9.78	-0.0104949
-9.779	-0.0119941
-9.778	-0.0119941
-9.777	-0.0149926
-9.776	-0.02049
-9.775	-0.00399804
-9.774	-0.00849583
-9.773	-0.0104949
-9.772	-0.00649681
-9.771	-0.00899559
-9.77	-0.0054973
-9.769	-0.0119941
-9.768	-0.00649681
-9.767	-0.0159922
-9.766	-0.00849583
-9.765	-0.0114944
-9.764	-0.00849583
-9.763	-0.0169917
-9.762	-0.02049
-9.761	-0.0144929
-9.76	-0.0144929
-9.759	-0.0129936
-9.758	-0.00649681
-9.757	-0.0114944
-9.756	-0.0119941
-9.755	-0.00899559
-9.754	-0.0124939
-9.753	-0.0154924
-9.752	-0.0139931
-9.751	-0.0054973
-9.75	-0.00749632
-9.749	-0.0124939
-9.748	-0.0104949
-9.747	-0.0099951
-9.746	-0.0104949
-9.745	-0.0149926
-9.744	-0.00899559
-9.743	-0.0149926
-9.742	-0.00862077
-9.741	-0.0139931
-9.74	-0.00799608
-9.739	-0.0114944
-9.738	-0.0159922
-9.737	-0.0149926
-9.736	-0.0129936
-9.735	-0.00249877
-9.734	-0.0119941
-9.733	-0.0164919
-9.732	-0.0134934
-9.731	-0.0139931
-9.73	-0.00949534
-9.729	-0.00899559
-9.728	-0.0104949
-9.727	-0.0109946
-9.726	-0.0104949
-9.725	-0.00649681
-9.724	-0.0129936
-9.723	-0.00749632
-9.722	-0.00949534
-9.721	-0.00749632
-9.72	-0.0124939
-9.719	-0.0099951
-9.718	-0.00699657
-9.717	-0.0119941
-9.716	-0.024488
-9.715	-0.0109946
-9.714	-0.00649681
-9.713	-0.00749632
-9.712	-0.0129936
-9.711	-0.0139931
-9.71	-0.0124939
-9.709	-0.0154924
-9.708	-0.00899559
-9.707	-0.0124939
-9.706	-0.00899559
-9.705	-0.0159922
-9.704	-0.00849583
-9.703	-0.00849583
-9.702	-0.00649681
-9.701	-0.00499755
-9.7	-0.0174914
-9.699	-0.0164919
-9.698	-0.00699657
-9.697	-0.0124939
-9.696	-0.0169917
-9.695	-0.0104949
-9.694	-0.0144929
-9.693	-0.0124939
-9.692	-0.0114944
-9.691	-0.0104949
-9.69	-0.00799608
-9.689	-0.00799608
-9.688	-0.00499755
-9.687	-0.00949534
-9.686	-0.0149926
-9.685	-0.0099951
-9.684	-0.00949534
-9.683	-0.0209897
-9.682	-0.0119941
-9.681	-0.00949534
-9.68	-0.00699657
-9.679	-0.00699657
-9.678	-0.0189907
-9.677	-0.0099951
-9.676	-0.00299853
-9.675	-0.0099951
-9.674	-0.00899559
-9.673	-0.0099951
-9.672	-0.0099951
-9.671	-0.00949534
-9.67	-0.0149926
-9.669	-0.0119941
-9.668	-0.00599706
-9.667	-0.00849583
-9.666	-0.0119941
-9.665	-0.0104949
-9.664	-0.00149926
-9.663	-0.0124939
-9.662	-0.0159922
-9.661	-0.0159922
-9.66	-0.00499755
-9.659	-0.0099951
-9.658	-0.00649681
-9.657	-0.0169917
-9.656	-0.00249877
-9.655	-0.0109946
-9.654	-0.0139931
-9.653	-0.0119941
-9.652	-0.0099951
-9.651	-0.00799608
-9.65	-0.0139931
-9.649	-0.0164919
-9.648	-0.0164919
-9.647	-0.00699657
-9.646	-0.0159922
-9.645	-0.0134934
-9.644	-0.0154924
-9.643	-0.0129936
-9.642	-0.00399804
-9.641	-0.0114944
-9.64	-0.0169917
-9.639	-0.0124939
-9.638	-0.00649681
-9.637	-0.00199902
-9.636	-0.0139931
-9.635	-0.0154924
-9.634	-0.0114944
-9.633	-0.0169917
-9.632	-0.0139931
-9.631	-0.00899559
-9.63	-0.0139931
-9.629	-0.0184909
-9.628	-0.00899559
-9.627	-0.0149926
-9.626	-0.0109946
-9.625	-0.00949534
